1,100,149,155,172,220,222,312,316,328,333,357,360.0
2,70,148,149,163,183,256,286,339,342,348,355,360.0
3,86,151,155,181,193,239,260,269,311,314,359,360.0
4,115,135,141,162,220,223,262,287,320,326,339,360.0
5,106,130,144,160,222,255,277,281,311,319,341,360.0
6,97,158,162,166,244,274,275,286,332,354,355,360.0
7,103,152,159,160,183,225,234,311,321,346,352,360.0
8,116,142,148,169,216,247,260,284,311,326,345,360.0
9,94,151,155,183,248,255,266,297,298,326,338,360.0
10,96,141,172,176,202,264,274,304,316,343,344,360.0
11,95,158,164,174,228,273,293,295,300,305,356,360.0
12,84,149,165,181,215,252,258,280,303,341,350,360.0
13,105,141,143,147,228,261,268,317,329,333,354,360.0
14,115,134,136,215,245,248,271,291,295,322,358,360.0
15,97,146,167,241,282,290,318,325,338,346,360,
16,103,155,159,160,188,232,303,322,325,335,348,360.0
17,100,126,173,185,190,245,270,294,343,354,358,360.0
18,106,148,152,178,238,262,281,284,286,314,356,360.0
19,99,154,156,157,237,246,261,271,337,345,350,360.0
20,111,125,140,200,223,235,251,313,324,352,358,360.0
21,92,147,161,162,237,245,252,286,316,330,351,360.0
22,100,154,184,201,212,226,324,353,357,358,360,
23,98,127,150,194,239,256,272,274,340,349,351,360.0
24,98,132,172,174,208,271,273,283,344,347,360,
25,114,148,149,191,230,257,262,285,324,325,348,360.0
26,82,152,163,188,196,210,237,323,332,341,359,360.0
27,101,147,155,157,228,244,245,254,314,344,352,360.0
28,106,128,185,195,227,247,306,313,325,355,356,360.0
29,113,142,151,166,243,273,279,304,338,345,350,360.0
30,104,145,165,176,235,251,254,299,323,342,345,360.0
31,101,149,152,154,177,232,300,315,335,344,348,360.0
32,113,158,162,230,253,268,276,313,325,340,360,
33,88,139,157,184,219,257,268,278,285,326,350,360.0
34,105,126,184,194,203,264,267,326,333,338,343,360.0
35,91,149,150,172,188,219,268,286,306,323,360,
36,102,146,149,193,214,224,281,304,324,327,357,360.0
37,109,146,150,175,239,251,276,280,292,327,337,360.0
38,83,152,154,171,187,223,274,303,322,346,350,360.0
39,106,133,159,196,214,227,270,322,323,356,357,360.0
40,81,157,161,174,219,247,298,303,310,314,331,360.0
41,112,130,159,189,196,230,251,268,305,343,349,360.0
42,82,152,162,188,201,223,289,293,305,348,353,360.0
43,104,140,143,189,234,265,293,317,347,350,356,360.0
44,100,143,152,162,233,245,279,291,312,325,355,360.0
45,114,145,155,171,218,239,287,305,321,327,331,360.0
46,93,152,167,182,207,270,273,288,319,352,360,
47,118,142,146,165,237,260,265,271,305,334,358,360.0
48,101,136,149,185,237,240,247,256,290,343,350,360.0
49,95,135,139,185,219,243,277,303,332,336,355,360.0
50,101,130,180,187,192,224,239,282,331,343,345,360.0
51,107,136,147,165,229,252,257,336,337,353,360,
52,89,156,160,178,205,227,291,318,345,346,357,360.0
53,108,148,158,176,239,250,260,271,329,333,352,360.0
54,94,148,162,175,262,273,302,306,324,343,358,360.0
55,103,147,153,164,232,234,292,298,304,307,354,360.0
56,111,148,152,193,224,252,274,301,315,320,357,360.0
57,111,128,151,189,193,257,305,306,331,332,343,360.0
58,86,148,153,183,187,256,274,290,334,338,358,360.0
59,96,154,157,166,167,247,285,295,327,332,340,360.0
60,109,133,165,179,210,227,243,313,321,350,358,360.0
61,86,154,159,191,215,233,279,310,353,357,358,360.0
62,104,142,154,172,174,265,279,287,299,330,347,360.0
63,103,146,158,182,235,239,267,276,345,350,353,360.0
64,90,148,151,188,211,228,247,314,346,348,354,360.0
65,85,163,175,212,223,270,313,321,323,330,356,360.0
66,113,148,174,188,214,233,288,294,317,347,354,360.0
67,103,145,157,180,252,272,280,287,294,324,356,360.0
68,101,159,161,183,198,251,262,317,327,340,353,360.0
69,118,139,145,198,201,241,271,295,308,343,358,360.0
70,101,123,147,200,210,230,243,295,348,352,360,
71,67,159,176,177,182,255,256,305,318,333,347,360.0
72,91,130,163,201,208,245,257,300,317,348,354,360.0
73,81,149,152,178,236,241,283,311,338,347,348,360.0
74,88,149,152,175,199,223,241,320,350,355,359,360.0
75,95,138,151,181,203,242,299,320,336,348,356,360.0
76,97,149,156,166,173,278,298,312,319,348,352,360.0
77,79,141,158,165,222,224,296,306,316,343,351,360.0
78,101,137,152,158,220,252,274,280,335,344,349,360.0
79,102,148,158,182,217,243,260,310,327,335,349,360.0
80,92,143,168,181,204,213,339,352,356,357,360,
81,85,140,169,181,229,236,293,312,327,328,333,360.0
82,119,139,141,153,225,253,265,273,305,328,349,360.0
83,64,150,154,168,195,246,266,291,302,339,342,360.0
84,97,143,155,165,268,281,286,310,338,354,358,360.0
85,125,132,151,195,220,241,245,277,336,337,353,360.0
86,127,128,129,179,204,253,257,336,344,359,360,
87,111,132,154,185,239,242,247,283,306,345,348,360.0
88,102,109,158,168,180,231,258,308,328,335,348,360.0
89,120,124,127,179,243,250,267,299,345,348,354,360.0
90,90,126,149,169,252,257,282,325,332,337,347,360.0
91,110,154,161,193,197,234,283,294,316,331,341,360.0
92,103,139,159,180,211,228,249,311,321,345,348,360.0
93,119,123,145,161,220,267,288,294,345,346,349,360.0
94,102,143,156,180,192,258,283,307,314,331,345,360.0
95,93,141,146,210,211,275,285,290,324,345,359,360.0
96,118,126,140,176,206,254,297,330,334,340,343,360.0
97,100,141,159,162,218,263,300,304,314,350,351,360.0
98,109,139,175,181,189,234,252,277,328,329,351,360.0
99,102,126,171,175,199,254,281,282,322,326,342,360.0
100,99,161,176,182,223,252,257,281,304,333,349,360.0
