1,97,71,65,40,65,7,70,80,58,106,1,60
2,109,46,49,64,39,63,68,42,83,88,24,45
3,105,68,41,43,11,105,16,92,49,66,81,43
4,113,35,91,57,7,130,16,87,7,116,1,60
5,119,20,95,22,99,49,70,59,14,103,22,48
6,105,94,3,79,97,7,99,55,2,108,21,50
7,111,45,56,15,112,43,71,53,65,19,103,27
8,107,46,49,70,60,47,36,97,57,62,58,31
9,118,22,69,21,61,107,6,125,30,88,22,51
10,111,81,31,33,75,81,17,109,3,102,43,34
11,99,74,44,14,100,29,123,36,77,9,87,28
12,115,23,59,5,106,61,109,5,57,60,60,60
13,88,54,63,63,65,61,84,27,111,10,60,34
14,109,65,45,1,87,22,119,35,107,30,86,14
15,110,44,61,17,110,49,66,78,70,29,63,23
16,113,55,22,65,95,23,63,102,2,60,60,60
17,119,1,82,95,5,113,52,64,56,23,83,27
18,114,55,24,70,88,22,84,55,62,54,82,10
19,115,44,88,37,77,83,37,40,35,95,25,44
20,103,86,61,84,41,30,66,67,50,76,36,20
21,102,95,81,8,91,9,112,3,107,20,72,20
22,111,65,35,22,83,7,108,72,37,114,13,53
23,109,88,42,39,59,8,112,7,103,85,21,47
24,109,78,34,77,8,112,3,131,22,37,96,13
25,96,44,90,63,63,24,106,26,80,11,114,3
26,112,65,42,27,71,99,15,102,17,45,101,24
27,96,47,41,62,66,60,62,60,60,84,55,27
28,107,88,64,3,67,70,1,131,21,86,38,44
29,106,46,70,36,47,73,51,98,13,60,60,60
30,118,8,77,45,22,125,10,105,53,90,12,55
31,116,35,57,28,102,6,131,8,97,72,16,52
32,115,28,103,33,98,10,100,30,72,17,62,52
33,112,43,62,11,147,11,93,1,60,60,60,60
34,119,38,41,39,95,18,110,51,106,9,66,28
35,99,92,41,86,53,16,89,12,52,60,60,60
36,117,20,53,78,68,5,113,14,113,30,101,8
37,96,74,65,44,18,122,8,107,48,45,65,28
38,115,31,59,67,57,35,92,11,124,13,114,2
39,113,64,42,33,21,106,52,89,20,60,60,60
40,110,81,28,67,30,58,102,5,59,60,60,60
41,105,44,62,86,21,85,32,39,84,42,71,49
42,119,3,112,15,53,31,115,26,94,24,111,17
43,107,46,69,45,82,24,119,15,111,3,77,22
44,103,63,45,68,14,82,104,10,78,35,111,7
45,106,92,14,105,5,73,99,13,83,19,107,4
46,108,67,53,40,30,102,41,43,80,30,120,6
47,111,61,72,54,66,40,35,99,4,102,33,43
48,108,45,45,24,110,72,44,66,26,60,60,60
49,107,72,10,76,83,19,61,94,18,60,60,60
50,109,80,24,60,65,87,35,80,44,72,8,56
51,101,65,69,84,6,85,18,97,28,102,60,5
52,103,71,85,1,79,1,108,27,97,20,120,8
53,117,23,43,116,2,115,8,93,57,55,29,62
54,102,68,46,36,62,76,27,115,14,104,28,42
55,107,89,41,20,78,58,52,80,25,107,6,57
56,118,6,70,72,63,49,91,16,74,50,101,10
57,114,85,21,73,56,22,73,75,44,76,38,43
58,99,68,45,44,83,8,94,90,9,60,60,60
59,104,65,67,23,116,11,85,16,68,48,72,45
60,108,71,48,74,54,52,31,80,22,60,60,60
61,110,63,51,65,29,100,3,125,31,41,92,10
62,103,74,34,67,32,101,67,5,101,39,74,23
63,104,63,45,63,39,101,8,106,24,82,78,7
64,109,85,21,71,64,16,102,22,105,19,84,22
65,114,65,4,129,17,104,19,66,5,134,8,55
66,119,4,125,32,49,66,97,11,116,1,63,37
67,108,65,53,25,68,79,5,112,51,77,26,51
68,115,63,49,38,32,77,13,106,20,135,30,42
69,108,69,15,115,31,43,30,89,88,24,96,12
70,104,62,87,16,71,57,82,1,60,60,60,60
71,108,44,63,81,41,61,61,80,13,87,44,37
72,113,49,96,2,74,17,98,70,40,75,65,21
73,117,16,49,79,31,75,29,122,4,124,36,38
74,113,56,62,78,26,72,41,73,54,7,132,6
75,99,46,69,64,31,81,17,116,41,80,35,41
76,109,65,42,48,36,98,3,72,57,111,45,34
77,117,22,75,26,40,83,93,7,117,39,71,30
78,111,44,16,120,34,79,26,112,41,36,90,11
79,91,65,89,63,82,42,62,40,61,61,58,6
80,119,16,76,13,125,22,108,58,31,77,31,44
81,107,71,16,49,35,117,16,99,17,100,41,52
82,99,90,40,64,41,63,61,60,60,62,39,41
83,93,66,65,89,45,15,108,31,102,9,69,28
84,113,85,41,12,102,84,5,115,9,82,36,36
85,108,50,11,96,47,99,20,82,46,81,40,40
86,106,67,43,37,100,62,13,110,2,60,60,60
87,102,67,42,84,43,61,11,108,50,60,70,22
88,119,4,104,102,36,65,66,5,114,20,64,21
89,99,66,88,41,61,61,62,61,36,11,95,39
90,107,68,35,106,5,78,42,98,2,108,66,5
91,119,8,106,78,27,43,71,59,16,112,3,78
92,91,69,89,86,62,36,48,73,8,83,37,38
93,111,53,72,53,27,48,112,7,112,7,113,5
94,110,49,32,56,69,69,42,83,23,119,18,50
95,101,65,66,42,65,6,110,13,64,102,19,67
96,93,73,63,63,61,61,42,61,40,82,35,46
97,109,48,24,78,40,111,29,41,109,33,64,34
98,92,90,64,41,65,60,62,63,82,25,26,50
99,115,48,76,2,118,59,53,55,67,12,114,1
100,118,12,94,61,41,61,82,26,73,75,38,39
101,104,69,60,26,33,107,40,78,94,15,79,15
102,98,50,88,42,91,28,73,16,54,60,60,60
103,103,70,43,42,20,92,15,113,47,82,72,21
104,116,27,77,87,63,58,28,71,13,60,60,60
105,105,88,44,40,23,67,108,10,55,60,60,60
106,103,74,24,87,36,80,40,59,72,10,101,34
107,99,88,45,85,62,20,76,10,55,60,60,60
108,114,85,7,68,69,53,57,59,58,57,66,27
109,111,45,92,33,39,33,101,11,116,33,95,11
110,111,58,21,88,5,122,24,91,45,74,3,78
111,106,45,67,11,50,123,40,73,25,60,60,60
112,113,43,42,45,68,25,81,108,30,96,12,57
113,111,58,23,70,97,1,105,86,18,56,69,26
114,114,64,7,113,47,30,64,81,20,60,60,60
115,107,91,17,75,59,34,84,23,94,36,92,8
116,104,45,90,4,111,13,98,27,95,22,71,40
117,105,70,78,25,43,71,51,83,62,68,14,50
118,91,71,44,62,85,63,5,127,22,89,1,60
119,103,45,83,65,40,57,16,93,76,46,66,30
120,109,69,11,99,90,4,66,68,50,77,32,45
121,112,55,28,69,56,50,65,95,10,60,60,60
122,96,92,41,42,87,33,58,71,20,60,60,60
123,108,65,72,34,40,81,70,19,51,60,60,60
124,114,45,8,82,36,98,27,109,56,56,55,34
125,117,27,111,12,65,58,70,70,62,55,62,11
126,105,66,85,60,14,55,70,56,64,69,34,42
127,111,63,60,58,71,61,27,63,26,60,60,60
128,94,66,45,64,64,85,54,13,78,29,97,31
129,115,21,60,61,11,104,14,99,48,94,37,56
130,109,87,7,83,81,32,56,56,29,60,60,60
131,106,45,75,33,112,29,93,13,97,32,49,36
132,84,92,89,41,65,42,60,61,60,62,60,4
133,111,45,38,62,96,16,107,9,109,48,37,42
134,115,26,76,99,14,66,50,65,18,98,77,16
135,111,63,9,66,27,92,29,113,23,104,39,44
136,107,72,19,119,55,59,63,70,48,57,26,25
137,109,65,64,41,50,70,56,41,45,111,18,50
138,113,60,13,128,61,17,52,80,16,60,60,60
139,105,73,17,97,57,30,74,16,108,3,126,14
140,101,73,69,41,41,81,86,15,102,19,61,31
141,104,43,44,88,14,101,60,60,63,74,20,49
142,116,16,58,60,60,67,56,88,39,85,46,29
143,101,72,62,62,49,71,8,77,79,50,55,34
144,102,67,90,13,124,8,113,9,83,19,71,21
145,105,41,44,86,82,61,37,61,48,70,43,42
146,102,70,65,36,79,19,102,11,61,59,71,45
147,106,92,39,74,22,79,12,108,17,107,8,56
148,112,69,56,94,25,77,10,111,9,87,21,49
149,117,5,70,64,15,146,8,94,41,88,30,42
150,106,47,42,62,50,83,19,125,9,114,6,57
151,98,45,90,62,62,41,61,60,60,2,127,12
152,113,25,44,42,111,54,69,37,100,13,104,8
153,118,16,74,38,60,77,59,91,12,110,64,1
154,115,45,95,20,62,53,69,49,68,36,76,32
155,117,14,55,68,121,17,63,76,10,110,26,43
156,116,17,105,7,59,86,28,83,75,59,47,38
157,116,22,49,25,102,9,139,41,37,60,60,60
158,113,45,20,81,56,93,29,75,26,77,37,68
159,115,63,3,81,47,123,20,102,9,108,19,30
160,107,66,64,6,69,65,90,28,79,11,113,22
161,99,47,44,84,63,61,45,40,80,45,69,43
162,115,26,87,64,18,85,50,82,23,56,60,54
163,112,44,39,93,74,40,71,12,103,36,65,31
164,113,42,84,20,119,4,115,6,65,61,55,36
165,107,48,41,56,63,82,8,124,36,67,49,39
166,116,66,36,58,89,41,66,50,82,34,76,6
167,106,71,38,12,110,52,109,3,96,8,108,7
168,112,85,42,4,106,22,93,41,69,13,108,25
169,119,14,53,31,102,1,131,17,114,35,82,21
170,112,40,103,17,74,31,92,64,51,22,110,4
171,112,46,8,126,20,46,92,18,93,45,70,44
172,96,46,46,62,66,63,14,101,19,145,6,56
173,101,66,43,65,63,4,109,62,56,17,128,6
174,111,44,49,20,80,34,116,16,125,15,98,12
175,113,29,98,94,20,79,16,62,29,60,60,60
176,95,97,65,41,26,31,104,1,126,33,94,7
177,108,67,64,1,116,11,107,12,93,100,3,38
178,105,65,43,62,64,18,97,14,120,38,22,72
179,112,42,63,5,150,22,85,2,101,47,59,32
180,89,94,65,64,86,32,59,65,9,81,36,40
181,110,53,67,26,45,88,21,106,55,50,93,6
